 INFO  Accepting connections at http://localhost:8000
 HTTP  25/4/2026 8:28:32 pm 127.0.0.1 GET /
 HTTP  25/4/2026 8:28:32 pm 127.0.0.1 Returned 200 in 50 ms
 HTTP  25/4/2026 8:28:45 pm ::1 GET /
 HTTP  25/4/2026 8:28:45 pm ::1 Returned 200 in 7 ms
 HTTP  25/4/2026 8:28:45 pm ::1 GET /style.css
 HTTP  25/4/2026 8:28:45 pm ::1 Returned 200 in 8 ms
 HTTP  25/4/2026 8:28:46 pm ::1 GET /script.js
 HTTP  25/4/2026 8:28:46 pm ::1 Returned 200 in 6 ms
 HTTP  25/4/2026 8:28:46 pm ::1 GET /public/logo.png
 HTTP  25/4/2026 8:28:46 pm ::1 Returned 200 in 39 ms
 HTTP  25/4/2026 8:28:47 pm ::1 GET /public/poster.gif
 HTTP  25/4/2026 8:28:47 pm ::1 Returned 200 in 82 ms
 HTTP  25/4/2026 8:30:20 pm ::1 GET /
 HTTP  25/4/2026 8:30:20 pm ::1 Returned 200 in 3 ms
 HTTP  25/4/2026 8:30:20 pm ::1 GET /style.css
 HTTP  25/4/2026 8:30:20 pm ::1 Returned 200 in 2 ms
 HTTP  25/4/2026 8:30:20 pm ::1 GET /script.js
 HTTP  25/4/2026 8:30:20 pm ::1 GET /public/logo.png
 HTTP  25/4/2026 8:30:20 pm ::1 Returned 200 in 4 ms
 HTTP  25/4/2026 8:30:20 pm ::1 Returned 200 in 3 ms
 HTTP  25/4/2026 8:30:21 pm ::1 GET /public/poster.gif
 HTTP  25/4/2026 8:30:21 pm ::1 Returned 200 in 1 ms
 HTTP  25/4/2026 8:30:22 pm ::1 GET /public/logo.png
 HTTP  25/4/2026 8:30:22 pm ::1 Returned 304 in 2 ms
 HTTP  25/4/2026 8:40:20 pm ::1 GET /
 HTTP  25/4/2026 8:40:20 pm ::1 Returned 200 in 6 ms
 HTTP  25/4/2026 8:40:20 pm ::1 GET /style.css
 HTTP  25/4/2026 8:40:20 pm ::1 GET /public/logo.png
 HTTP  25/4/2026 8:40:20 pm ::1 GET /script.js
 HTTP  25/4/2026 8:40:20 pm ::1 Returned 304 in 4 ms
 HTTP  25/4/2026 8:40:20 pm ::1 Returned 304 in 3 ms
 HTTP  25/4/2026 8:40:20 pm ::1 Returned 304 in 3 ms
 HTTP  25/4/2026 8:40:20 pm ::1 GET /public/poster.gif
 HTTP  25/4/2026 8:40:20 pm ::1 Returned 304 in 2 ms
 HTTP  25/4/2026 8:40:21 pm ::1 GET /public/logo.png
 HTTP  25/4/2026 8:40:21 pm ::1 Returned 304 in 4 ms
 HTTP  25/4/2026 8:43:36 pm ::1 GET /
 HTTP  25/4/2026 8:43:36 pm ::1 Returned 200 in 3 ms
 HTTP  25/4/2026 8:43:36 pm ::1 GET /style.css
 HTTP  25/4/2026 8:43:36 pm ::1 Returned 304 in 2 ms
 HTTP  25/4/2026 8:43:36 pm ::1 GET /public/logo.png
 HTTP  25/4/2026 8:43:36 pm ::1 GET /script.js
 HTTP  25/4/2026 8:43:36 pm ::1 Returned 304 in 2 ms
 HTTP  25/4/2026 8:43:36 pm ::1 Returned 304 in 2 ms
 HTTP  25/4/2026 8:43:37 pm ::1 GET /public/poster.gif
 HTTP  25/4/2026 8:43:37 pm ::1 Returned 304 in 2 ms
 HTTP  25/4/2026 8:43:37 pm ::1 GET /public/logo.png
 HTTP  25/4/2026 8:43:37 pm ::1 Returned 304 in 2 ms
 HTTP  25/4/2026 8:44:39 pm ::1 GET /
 HTTP  25/4/2026 8:44:39 pm ::1 Returned 304 in 4 ms
 HTTP  25/4/2026 8:44:39 pm ::1 GET /style.css
 HTTP  25/4/2026 8:44:39 pm ::1 Returned 304 in 4 ms
 HTTP  25/4/2026 8:44:39 pm ::1 GET /public/logo.png
 HTTP  25/4/2026 8:44:39 pm ::1 GET /script.js
 HTTP  25/4/2026 8:44:39 pm ::1 Returned 304 in 7 ms
 HTTP  25/4/2026 8:44:39 pm ::1 Returned 304 in 4 ms
 HTTP  25/4/2026 8:44:39 pm ::1 GET /public/poster.gif
 HTTP  25/4/2026 8:44:39 pm ::1 Returned 304 in 4 ms
